original_index,sentence,label,translation_en,translation_hi
0,"Knowing ki Vikas kitna samjhata hai Priyanka aur Itch Guard Luv ko, usne bola tha Ben wali baat me ab Sallu ne bhi agree kiya!",non-hate,"Knowing how understanding Vikas is with Priyanka and Itch Guard Luv, he had said that even Sallu agreed in the matter about Ben!","विकास की जानकारी होने के बावजूद प्रियंका और इट्च गार्ड लुव से, उसने बेन वाली बात में अब सल्लू ने भी सहमति दी!"
1,I am Muhajir .. Aur mere lye sab se Pehly Pakistan he .. agr 10 lakh Altaf Jese leaders bh is zameen ki behurmati kren un sbko sar e aam phansi Deni chahye .. Proud to be a #Muhajir and #Pakistani,non-hate,"I am a Muhajir .. And for me, Pakistan comes first .. If 10 lakh leaders like Altaf were to betray this land, they all should be publicly hanged .. Proud to be a #Muhajir and #Pakistani",मैं मुहाजिर हूँ.. और मेरे लिए सबसे पहले पाकिस्तान है.. अगर 10 लाख अल्ताफ जैसे नेता भी इस ज़मीन की बेशरमी करें तो उन सभी को सारे आम फांसी देनी चाहिए.. #मुहाजिर होने और #पाकिस्तानी होने में गर्व
2,"Doctor  sab sahi me ke PhD (in hate politics) wale. Bhai padhe likhe ho fir kyu ye sab baate karte ho. Tum bas bowling  khelo, aur maje lo. pic.twitter.com/fk1qUbQstw",non-hate,"Doctor, you have a PhD in hate politics. Why do you talk about all this nonsense? Just play some bowling and enjoy yourself.","डॉक्टर सब सही में के पीएचडी (घिनौनी राजनीति में) वाले। भाई पढ़ा लिखा हो फिर क्युं ये सब बातें करते हो। तुम बस बोलिंग खेलो, और मज़ा उठाओ।"
3,"Poore Desh me Patel OBC me aate Hain sirf gujrat Ko chor kar may be, ye manuwadiyon bramanwadi kabhi aapko aarackchan nahi denge ye to jis OBC Ko Mila hai usse bhi nafrat karte hain ye khoon aur chamdi ka frak karne waale bharmhanwadi kisi ke sage nahi hain",non-hate,"In poor countries, Patels belong to the OBC category, except maybe in Gujarat. These Manuvadis and Brahmanvadis will never give you any respect; they even hate the OBCs who have received some benefits. These blood-sucking Brahmanvadis are no good to anyone.","पूरे देश में पटेल ओबीसी में आते हैं सर्फ गुजरात को छोड़कर मेयबी, ये मानवाधीन ब्राह्मणवादी कभी आपको अरक्षण नहीं देंगे, ये जिस ओबीसी को मिला है उसे भी नफरत करते हैं, ये खून और चमड़ी का फरक करने वाले ब्राह्मणवादी किसी के साथ नहीं हैं"
4,"Sarkar banne ke bad Hindu hit me ek bhi faisla Jo bjp ke dwara liya gaya ho,bjp ko  gay,gobar,mandir,masjid aur nafrat faila kar vot chahiye",hate,"After coming to power, not a single decision taken by the BJP should be left unchallenged; we should target the BJP with slurs, temples, mosques, and spread hatred to get votes.","सरकार बनने के बाद हिंदुओं पर एक भी फैसला जो BJP द्वारा लिया गया हो, BJP को गेय, गोबर, मंदिर, मस्जिद और नफरत फैलाकर वोट चाहिए"
5,Hate it jab test ata ho phr bh acha na ho -.-,hate,Hate it when the test comes out bad even after trying so hard -.-,इसे नफरत होती है जब टेस्ट आता है पर फिर भी अच्छा नहीं होना। -.-
6,Ek dil ek jaan akal ke imitihaan kal KP ke rape aur sawing between two legs after rape honge justified due to cinematic liberty aaj toh Rajput ki ho gayi shaan urdu ki gulaam,non-hate,One heart one soul a test of intelligence tomorrow KP's rape and swinging between two legs after rape will be justified due to cinematic freedom today it has become the pride of Rajputs and slaves of Urdu,एक दिल एक जान अकल के इम्तihan कल KP की रेप और रेप के बाद दो पैरों के बीच सविंग होंगे ऑफ़ मेटा-सिनेमाटिक फ्रीडम के कारण आज तो राजपूत की हो गई शान उर्दू की गुलाम
7,Aise logo se sakht nafrat karta hu Jo caste ko naam ke sath jod ke chaude hote h but real me vo piddu hote h,hate,"I strongly hate people who pretend to be hotshots by associating their name with their caste, but in reality, they are scumbags.","ऐसे लोगों से मैं कड़ी नफरत करता हूँ जो जाति को नाम के साथ जोड़कर चाऊदे होते हैं, पर वास्तविकता में वे पिड्डू होते हैं"
8,"Sir, jyada sentimental mat ho jao peene ke baad.Jiss desh ki buniyad sirf Hindu hatred pe hui ho woh kabhi nahi sudrega. Aap POK de do yaa phir Kabootar udao, jawab sirf goliyon se milega....",hate,"Sir, don't get too sentimental after drinking. A country whose foundation is based solely on Hindu hatred will never improve. Give them POK or release pigeons, answers will only come from bullets...","सर, शराब पीने के बाद संवेदनशील मत हो जाइए। वह देश कभी सुधरेगा नहीं जिसकी आधार हिंदूओं के विरोध पर है। आप या तो पोक दे दें या फिर कबूतर उड़ा दें, जवाब सिर्फ गोलियों से मिलेगा..."
9,I am very sorry to say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,non-hate,I am very sorry to say that Shilpa's clean-hearted fans also understand what Hiten has in his heart; there is a limit to hatred too.,"मैं बहुत सorry हूँ कहने को कि शिल्पा के प्रेमी फ़ैंस हितेन के दिल में जो है वही समझते हैं, नफरत की भी सीमा होती है"
10,"Madam,Bahut sochsamajhkr Mai ESS tarq pe purey42mahino mei pahucha hoon k Asli wajah ""MUSLIM Hatred""hai Jo kabi,Partition,RamTemple,GauMata,BharatMaataKiJai, VandeMatram, Raastragan, Pak Premi,Gaddaar,Bachche jyada ,5Bibiya25Bachche k safar tai karte Huey TAJMAHAL p jake atka hai",non-hate,"Madam, After much thought, I have reached the conclusion in 42 months that the real reason is 'Muslim hatred' which has led to Partition, Ram Temple, Cow Mother, Glory to Bharat Mata, Vande Mataram, National Anthem, Pakistani lovers, traitors, having too many children, and traveling with 5 wives and 25 children to attack the Taj Mahal.","मैंम, बहुत सोचसमझकर मैं इसी समस्या पर पूरे 42 महीनों में पहुँच गया हूँ कि असली वजह 'मुस्लिम घृणा' है। जो कभी, विभाजन, राम मंदिर, गौ माता, भारत माता की जय, वंदे मातरम, राष्ट्रगान, पाकिस्तान के प्रेमी, गद्दार, बच्चे ज्यादा, 5 बीवियाँ 25 बच्चे के सफर के दौरान ताज महल पर आक्रमण कर दिया है।"
11,I hate sapna yaar Coz khud ko toh chalana aati nae aur hum agar tez chalaenge toh tokna shru  dheere se chalao .....  https://twitter.com/znb_abbasi/status/929388980965203968 …,hate,"I hate Sapna, man. Because she can't even walk properly, and if we walk fast, she starts complaining. So just walk slowly....","मैं सपना को नहीं सुकून दे सकता क्योंकि वह खुद को चलाना भी नहीं जानती है, और अगर हम तेज़ चलेंगे तो टोकना शुरू कर देगी। धीरे-धीरे चलो....."
12,"Ha rem  """" emoji I hate this emoji! Mujhe nagini ki hi yaad aati Hai",non-hate,Ha rem  '' emoji I hate this emoji! It reminds me of a snake.,"हे रेम  """" इमोजी मुझे ये इमोजी नहीं पसंद है! मुझे नागिन की ही याद आती है"
13,Hate heena..... too much irritating n bat karne ka tamiz nhi hai unme....sab ko insult karna ati hai unko.....bas aur kuch nhi ati hai.....bohot insecure hai wo ladki....,hate,Hate her... she's so irritating and doesn't have the decency to talk nicely... all she knows how to do is insult people... that's all she can do... she's very insecure.,हेना बहोत ज़्यादा इरिटेटिंग है...और उनमे बात करने की तमीज़ नहीं है...सबको अपमानित करने में उन्हें सुलाग आती है...बस और कुछ नहीं आता है...वह लड़की बहोत इनसिक्योर है...
14,Sir apki fav kon hai iss seasn mai??,non-hate,"Sir, who is your favorite in this season?",सर आपका फ़ेवरिट कौन है इस सीज़न में??
15,Mehanat to school me copy karke likhne me b lagti hai fir illegal kyu? Atanki ko b lagti hai fir nafrat kyu? Paise lekar ghar ki aurato ka smman bech doge kya paise aur mehanat ke liye aap?,non-hate,"Hard work seems to involve copying in school, so why is it illegal? It also seems like terrorism, so why not hatred? Are you going to sell your family's women's honor for money and hard work?",मेहनत तो स्कूल में कॉपी करके लिखने में भी लगती है फिर गैरकानूनी क्यों? आतंकवादी को भी लगती है फिर नफरत क्यों? पैसे लेकर घर की औरतों का सम्मान बेच दोगे क्या पैसे और मेहनत के लिए तुम?
16,"Ladla wo hay jo fard jurm kay bad bhi girftar nahi hota, money trail nahi deta aur saza nahi milti, 14 murder karta hay aur phansi nahi lagti.",non-hate,"The one who remains free even after committing crimes, doesn't give away any money trail, doesn't get punished, commits 14 murders and still doesn't get hanged.","लड़ला वो है जो फरज़ी अपराध के बाद भी गिरफ्तार नहीं होता, पैसे का पista नहीं मिलता और सजा नहीं मिलती, 14 हत्याएँ कर देता है और फांसी नहीं लगती।"
17,aur ye barun ka comeback show tha. koi q nahi dekhna chahega? lekin fir b nahi dekh paye... mai shivani ko q hate karu? muze uski acting nahi achchi lagi. jo muze laga wo maine kaha. wo mera opinion hai.,non-hate,And this was Baron's comeback show. Why wouldn't anyone want to watch it? But I couldn't watch it either... Why should I hate Shivani? I didn't like her acting. I said what I felt. That's my opinion.,और ये बारन का कॉमबैक शो था। कोई किसी वजह से नहीं देखना चाहेगा? लेकिन फिर भी नहीं देख पाए... मैं शिवानी को क्यों घृणा करूँ? मुझे उसकी अभिनय नहीं अच्छी लगी। जो मुझे लगा वो मैंने कहा। वो मेरा विचार है।
18,Sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko @chintskap akhand bharat ek bharathttps://twitter.com/chintskap/status/929429458188091392 …,non-hate,"Sir, now this is not possible anymore, there's a lot of hatred on both sides, the only way is to erase the border line, Jinnah is dead and Nehru too, it's time to reunite both countries as Akhand Bharat, one India.","सर जी अब ये संभव नहीं है, दोनों तरफ़ बहुत नफ़रत है। अब केवल एक रास्ता है - सीमा की लाइन को मिटा कर ही ये समाप्त हो सकता है। जिन्ना साहब तो मर गए और नेहरु जी भी अब फिर से दोनों देश को एक करते हैं @chintskap अखण्ड भारत एक भारत https://twitter.com/chintskap/status/929429458188091392 …"
19,"Code phatta hai toh phatne do, Mujhe project se nafrat ho gayi hai, Mujhe development team se hatne do",hate,"If it's going to fail, let it fail, I've grown to hate the project, get me away from the development team","कोड फटा है तो फटने दो, मुझे प्रोजेक्ट से नफरत हो गई है, मुझे डेवलपमेंट टीम से हटने दो"
