original_index,sentence,sentiment,translation_en,translation_hi
3,pakistan ka ghra tauq pakistan israel ko tasleem nahein kerta isko palestin kehta - occupi palestin nan,negative,"Pakistan does not even recognize Israel, it calls it occupied Palestine.","पाकिस्तान का घर तो पाकिस्तान है, लेकिन यह इज़रायल को स्वीकार नहीं करता है, इसे अधिग्रहित पैलेस्ताइन कहता है।"
41,madarchod mull ye mathura nahi dikha tha jab mullo ne hindu ko iss liy mara ki vo lass ki pais mag liy,negative,"Damn, this Mathura didn't show up when the guy killed the Hindu for asking for his share of the money.",मदरचोड़ मुल्ल ये मथुरा नहीं दिखाथा जब मुल्लों ने हिंदुओं को इसलिए मारा कि वो लाश की पैसे मगलिए
48,manya pradhan mantri mahoday shriman narendra modi ji pradhanmantri bann par hardik badhai tahe dil,positive,Many congratulations to our honorable Prime Minister Shri Narendra Modi Ji on becoming the Prime Minister again.,मन्या प्रधान मंत्री महोदय श्रीमान नरेन्द्र मोदी जी प्रधानमंत्री बनने पर हार्दिक बधाई ताहे दिल
64,krishna jcb full trend chal rahi aa nan,positive,Krishna JCB is trending really well now,कृष्णा जीसीबी फुल ट्रेंड चल रही है नान
66,loksabha janta sirf modi ko vote de rahi thi na ki kisi mp bjp ko without,positive,"The people in the Lok Sabha were voting for Modi, not any other BJP MP.","लोकसभा में जनता सिर्फ मोदी को वोट दे रही थी, न कि किसी अन्य BJP के उम्मीदवार को।"
68,bhosdik tum pechvad ki tatti hi rahog bc nan,negative,"fuck you, your backside will remain sour, bitch ass","भोसड़ीक, तुम पीछे की तानी ही रहोग बीसी नन"
90,love u bhaijan ... ♥♥ father + son bharat iambharat bharatthiseid best pic entir promot mashallah,positive,"love you bro ... ♥♥ father and son Bharat, I am Bharat, Bharat this side, best picture entire promo mashallah",तुमसे प्यार है भाइजन ... ♥♥ पिता + पुत्र भारत में बहरत भरतथीसेड सबसे अच्छा फोटो एंटिर प्रोमॉट मशाल्ला
99,tumhara pass abh deemagh hai nahi islea googl ko apna deemagh banaya hua hai har koi tumhari tarh,negative,"you don't have any brains left, that's why you've made google your brain, everyone is like you now",तुम्हारे पास अब दिमाग नहीं है इसलिए गूगल को अपना दिमाग बनाया है हर कोई तुम्हारे जैसा नहीं
101,nolo weni anker gae weekend 😂😂😂😂😂 nan,positive,I'm going to the anchor's place this weekend 😂😂😂😂😂 yeah,नोलो वेनी अँकर गए विकेंड 😂😂😂😂😂 नैन
104,aimim lage raho mullo tumhr issi quran faad gyan ki kayal hain duniya allah bhi khus,negative,"aim to remain in hell, you people are spreading this Quranic knowledge just for show in the world, even God is not happy","ऐमिम लगे रहो मौला, तुम्हरी इसी कुरान फ़ाद ज्ञान की कैल हैं दुनिया, अल्लाह भी खुश"
106,omer muhammadpti pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak,negative,Omer Muhammad Paktun's fight for rights is not Punjab's war.,ओमर मुहम्मदपती पख़्तून के हक़ नहीं पंजाब की हक़ जंग पक
146,ye sale desh ke kabhi sage nahin ho sakt ye gaddar hain ink sath kadi se kadi kanun,negative,"this scoundrel can never be trusted, they are traitors, laws should be very strict against them","ये साले देश के कभी सागे नहीं हो सकते, ये गद्दार हैं, इनके साथ कड़ी से कड़ी कानून"
150,saf babi sorri onlin hope sleep well though love nan,positive,sweet baby sorry online hope sleep well though love you,सुफ़ बेबी सॉरी ऑनलाइन होप स्लीप वेल थोʊ लव नान
157,real life k log chor diy hain mene alreadi jo snake thi ab internet k chorn hain 'm sad reason solmon nan,negative,"People in real life have already left me, and now those on the internet are also gone. I'm sad, Solomon.","रियल लाइफ के लोग मुझसे चौर दिए हैं, मैंने पहले स्नेक थी अब इंटरनेट के चोर हैं। मैं दुखी हूँ, कारण सॉलमन नैन"
167,mohsin dawartweet daikho aur kuch kha ker mar jao bayghayrat insantum aur ali wazir harami ho pakistan,negative,Mohsin Dawar tweet dekho aur kuch khake mar jao besharm log aur Ali Wazir hai toh harami Pakistan,मोहसिन दावरट्वीट देखो और कुछ खा कर मर जाओ बेगरेहर इंसानों और अली वजीर हारामी हो पाकिस्तान
174,kuch media channel dikh rahe hai ki ink upar kai prakaar ke crimin case hai shame type media channel nan,negative,"some media channels are showing that there are various criminal cases against them, what a shame these types of media channels are","कुछ मीडिया चैनल ऐसे दिख रहे हैं कि उनपर कई प्रकार के अपराधी मामले हैं, शेम्प टाइप के मीडिया चैनल"
175,abe mc nhi malum ammi mat chuda bsdk grahm stain ko dara singh ne mara tha adivasiy,negative," Damn it, I don't know what to say, but that bastard Grahm Stain was killed by Dara Singh, you tribal fool.",अबे एमसी नहीं मालुम अम्मी मत चुदा बस्तर को दारा सिंह ने मारा था आदिवासी
182,well chara chor ke chele news year old nan,negative,"Well, you thief's son, New Year old nonsense.",अच्छा चोर के बेटा न्यूज़ वर्ष के पुराने नान
216,twitter k baghair apna roza mumkin nahi hota apna chutiyaap dusron per thopna band karo bhai,positive,"Without Twitter, my life wouldn't be possible. Stop projecting your nonsense on others, bro.","ट्विटर के बगैर मेरा रोजा मुमकिन नहीं होता, अपनी चुटियाप दूसरों पर ठोपना बंद करो भाई"
252,oh haha soldier read american god hardi har har thank remind everyon clusterfuck nan,negative,oh haha soldier read American Gods hardi har har thanks for reminding everyone about the clusterfuck man,ओह हाहा सैल्योर रीड अमेरिकन गॉड हर्दी हर हर थैंकस रेमाइंड एव्रीवन क्लस्टरफक नन
266,mp govt kamalnath ki h wese ek video viral h jism aapk shantidut bhai ek dukandar,negative,"The MP government belongs to Kamalnath, anyway, there's a viral video where he talks about peace, brother, but it's just a shopkeeper's talk.",एमपी सरकार कमलनाथ की है वैसे एक वीडियो वायरल हो गया जिसमें आपकी शांतिपूर्णता भाई एक दुकानदार
282,dev da tmr new movi song ami tmk valobasi realli love ❤😘 lot 😍😘☺❤💓 nan,neutral,"Dev's new movie song, I really love it a lot ❤😘😍😘😊❤💕",देव दा तुम्हारी नई फिल्म की गाने मैं तुम्हें वाकिया से प्यार ❤😘 करती हूँ 😍😘☺❤💓 बहुत
287,abe bc kya le jayeng yeh toh batah abhi 😜 pakvwi babaji ka thullu 😂,positive,"Hey bro, tell me what you're gonna take now 😜 enjoying the snacks from Babaji 😂","अब भाई क्या ले जाएंगे, यह तो बताओ अभी 😜 पकवान बाबाजी का थुल्ला 😂"
